,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
98,-36.8839307,174.7319442,Gulf Harbour North,420.0,1404.0,426.0,264.0,225.0,222.0,210.0,204.0,123.0,123.0,291.0,120.0,84.0,6.0,276.0,2934.0,6.0,237.0,45.0,225.0,27.0,24.0,18.0,42.0,96.0,102.0,3.0,21.0,57.0,9.0,3.0,12.0,6.0,12.0,9.0,1491.0,2496.0,204.0,63.0,354.0,51.0,48.0,180.0,591.0,1470.0,81.0,141.0,192.0,45.0,9.0,1245.0,1491.0,2931.0,2018
100,-36.8585605,174.7303495,Manly East,600.0,1500.0,792.0,444.0,384.0,306.0,261.0,306.0,147.0,168.0,357.0,150.0,69.0,12.0,168.0,3555.0,3.0,312.0,78.0,207.0,39.0,12.0,12.0,42.0,57.0,129.0,9.0,24.0,9.0,6.0,6.0,24.0,3.0,15.0,24.0,2016.0,3321.0,351.0,105.0,120.0,21.0,33.0,294.0,768.0,1836.0,102.0,144.0,141.0,48.0,12.0,1284.0,2016.0,3555.0,2018
102,-36.9291172,174.6552601,Riverhead,441.0,1422.0,228.0,225.0,204.0,225.0,216.0,183.0,108.0,114.0,357.0,156.0,78.0,12.0,117.0,2802.0,0.0,153.0,18.0,252.0,24.0,15.0,18.0,15.0,30.0,78.0,6.0,12.0,60.0,0.0,3.0,6.0,3.0,15.0,18.0,1719.0,2418.0,282.0,96.0,255.0,30.0,42.0,207.0,474.0,1422.0,72.0,138.0,192.0,45.0,6.0,909.0,1719.0,2775.0,2018
104,-36.8499185,174.7727815,Army Bay,258.0,735.0,294.0,153.0,138.0,129.0,120.0,114.0,54.0,96.0,171.0,78.0,42.0,12.0,93.0,1566.0,0.0,126.0,18.0,105.0,9.0,15.0,3.0,21.0,27.0,48.0,3.0,15.0,6.0,3.0,0.0,9.0,0.0,6.0,15.0,876.0,1431.0,126.0,51.0,78.0,18.0,21.0,108.0,336.0,813.0,42.0,57.0,69.0,21.0,3.0,561.0,876.0,1596.0,2018
106,-36.8774397,174.7349347,Kumeu Rural East,342.0,951.0,345.0,267.0,213.0,168.0,165.0,150.0,96.0,84.0,186.0,63.0,33.0,9.0,90.0,2028.0,6.0,126.0,30.0,183.0,18.0,6.0,18.0,24.0,21.0,87.0,6.0,6.0,93.0,15.0,0.0,12.0,15.0,3.0,12.0,1098.0,1641.0,264.0,84.0,267.0,12.0,9.0,159.0,366.0,1143.0,72.0,60.0,69.0,21.0,6.0,798.0,1098.0,1989.0,2018
108,-36.9087056,174.678696338458,Gulf Harbour South,378.0,1323.0,495.0,255.0,189.0,186.0,174.0,144.0,123.0,120.0,360.0,141.0,117.0,12.0,246.0,2664.0,0.0,210.0,27.0,240.0,33.0,27.0,12.0,36.0,45.0,75.0,9.0,51.0,48.0,24.0,12.0,6.0,0.0,6.0,6.0,1278.0,2148.0,105.0,57.0,453.0,51.0,30.0,165.0,552.0,1455.0,69.0,117.0,108.0,45.0,6.0,1209.0,1278.0,2694.0,2018
110,-36.8466384,174.754292511387,Paremoremo West,168.0,447.0,120.0,93.0,99.0,96.0,96.0,48.0,30.0,51.0,93.0,42.0,36.0,3.0,39.0,978.0,3.0,84.0,6.0,57.0,15.0,0.0,9.0,12.0,12.0,36.0,9.0,6.0,9.0,9.0,6.0,9.0,0.0,9.0,6.0,570.0,798.0,87.0,39.0,99.0,6.0,9.0,87.0,162.0,561.0,39.0,39.0,36.0,12.0,3.0,348.0,570.0,894.0,2018
112,-36.8843608,174.714467,Taupaki,282.0,756.0,288.0,231.0,171.0,135.0,147.0,126.0,57.0,72.0,165.0,63.0,30.0,9.0,54.0,1617.0,3.0,93.0,9.0,147.0,9.0,0.0,3.0,12.0,21.0,72.0,0.0,12.0,6.0,3.0,0.0,3.0,12.0,12.0,15.0,954.0,1437.0,144.0,63.0,120.0,12.0,24.0,111.0,318.0,900.0,69.0,48.0,60.0,30.0,3.0,567.0,954.0,1605.0,2018
114,-36.8959637,174.6969205,Long Bay,288.0,693.0,123.0,84.0,54.0,66.0,120.0,36.0,45.0,51.0,225.0,93.0,78.0,15.0,162.0,1365.0,0.0,54.0,12.0,99.0,6.0,3.0,15.0,9.0,27.0,33.0,0.0,24.0,21.0,9.0,3.0,0.0,12.0,3.0,6.0,780.0,657.0,30.0,15.0,675.0,36.0,9.0,63.0,150.0,867.0,45.0,81.0,87.0,12.0,3.0,531.0,780.0,1392.0,2018
116,-36.8535101,174.7511826,Paremoremo East,675.0,1389.0,255.0,240.0,183.0,201.0,255.0,192.0,81.0,90.0,240.0,108.0,66.0,21.0,117.0,2382.0,6.0,126.0,36.0,180.0,18.0,12.0,24.0,18.0,66.0,69.0,42.0,24.0,42.0,15.0,3.0,12.0,0.0,15.0,12.0,1290.0,1824.0,372.0,129.0,249.0,27.0,21.0,234.0,492.0,1233.0,81.0,87.0,87.0,33.0,15.0,972.0,1290.0,2748.0,2018
118,-36.8657339,174.7377107,Albany Heights,879.0,1539.0,213.0,150.0,147.0,150.0,303.0,120.0,114.0,123.0,585.0,183.0,174.0,15.0,381.0,3153.0,3.0,111.0,24.0,219.0,48.0,3.0,45.0,30.0,57.0,96.0,0.0,87.0,108.0,81.0,9.0,6.0,12.0,15.0,18.0,1674.0,1596.0,111.0,45.0,1419.0,99.0,54.0,204.0,414.0,1965.0,87.0,165.0,138.0,21.0,3.0,1344.0,1674.0,3198.0,2018
120,-36.8415315,174.763396429666,Awaruku,939.0,2127.0,525.0,276.0,300.0,303.0,387.0,252.0,186.0,234.0,663.0,246.0,150.0,24.0,393.0,4416.0,9.0,270.0,99.0,345.0,39.0,15.0,21.0,60.0,99.0,162.0,15.0,27.0,33.0,54.0,9.0,15.0,6.0,15.0,30.0,2289.0,3486.0,216.0,90.0,780.0,75.0,60.0,282.0,750.0,2529.0,183.0,192.0,225.0,51.0,15.0,1887.0,2289.0,4452.0,2018
122,-36.8774512,174.6989499,Fairview Heights,1020.0,1731.0,507.0,279.0,156.0,159.0,342.0,150.0,135.0,171.0,672.0,207.0,183.0,27.0,489.0,3897.0,0.0,165.0,36.0,249.0,42.0,9.0,27.0,45.0,63.0,135.0,6.0,96.0,90.0,72.0,0.0,3.0,12.0,15.0,24.0,2262.0,1533.0,114.0,54.0,2196.0,132.0,36.0,261.0,474.0,2472.0,108.0,177.0,174.0,33.0,9.0,1455.0,2262.0,3939.0,2018
124,-36.8133725,174.8013927,Whenuapai,954.0,1809.0,429.0,345.0,336.0,327.0,381.0,297.0,153.0,165.0,483.0,171.0,123.0,12.0,153.0,3888.0,21.0,222.0,33.0,330.0,30.0,6.0,27.0,24.0,42.0,96.0,9.0,45.0,30.0,27.0,0.0,21.0,6.0,18.0,21.0,2346.0,3132.0,480.0,225.0,453.0,45.0,84.0,318.0,639.0,2250.0,111.0,141.0,147.0,48.0,12.0,1335.0,2346.0,3861.0,2018
126,-36.9075763,174.6631135,Waitakere Ranges North,255.0,633.0,162.0,120.0,117.0,96.0,114.0,96.0,45.0,60.0,150.0,60.0,51.0,18.0,39.0,1281.0,0.0,63.0,6.0,51.0,3.0,9.0,3.0,6.0,9.0,24.0,3.0,9.0,6.0,3.0,0.0,21.0,0.0,6.0,9.0,870.0,1176.0,129.0,51.0,54.0,3.0,15.0,102.0,276.0,648.0,45.0,51.0,54.0,18.0,9.0,321.0,870.0,1302.0,2018
128,-36.8441306,174.7341061,Torbay,795.0,2052.0,732.0,333.0,285.0,336.0,372.0,252.0,183.0,225.0,582.0,279.0,168.0,42.0,321.0,4305.0,12.0,294.0,99.0,312.0,33.0,15.0,9.0,78.0,114.0,141.0,6.0,48.0,24.0,12.0,12.0,21.0,9.0,27.0,24.0,2286.0,3708.0,213.0,114.0,483.0,36.0,57.0,255.0,861.0,2400.0,159.0,177.0,210.0,57.0,9.0,1755.0,2286.0,4416.0,2018
130,-36.8147651,174.776209,Albany West,570.0,1134.0,657.0,306.0,204.0,159.0,216.0,123.0,93.0,117.0,387.0,126.0,135.0,21.0,315.0,2811.0,15.0,198.0,45.0,255.0,33.0,18.0,3.0,42.0,54.0,132.0,3.0,87.0,96.0,87.0,9.0,6.0,12.0,6.0,12.0,1299.0,1530.0,99.0,42.0,1149.0,81.0,42.0,162.0,375.0,1788.0,81.0,108.0,126.0,33.0,6.0,1401.0,1299.0,2862.0,2018
132,-36.8872432,174.644287,Glamorgan,690.0,1602.0,351.0,246.0,240.0,228.0,273.0,213.0,126.0,150.0,414.0,213.0,105.0,21.0,294.0,3291.0,3.0,186.0,78.0,213.0,48.0,12.0,36.0,45.0,87.0,84.0,3.0,39.0,18.0,27.0,6.0,15.0,3.0,18.0,18.0,1851.0,2658.0,264.0,81.0,507.0,57.0,39.0,243.0,567.0,1815.0,105.0,153.0,162.0,45.0,9.0,1245.0,1851.0,3309.0,2018
134,-36.8326762,174.6228926,Oteha East,684.0,1482.0,423.0,213.0,147.0,168.0,246.0,138.0,132.0,138.0,531.0,171.0,144.0,18.0,390.0,3210.0,6.0,123.0,57.0,276.0,48.0,6.0,9.0,51.0,90.0,150.0,3.0,93.0,96.0,51.0,6.0,3.0,6.0,6.0,21.0,1434.0,1500.0,105.0,51.0,1557.0,102.0,54.0,207.0,432.0,1929.0,96.0,129.0,180.0,24.0,9.0,1602.0,1434.0,3219.0,2018
136,-36.8360843,174.6392142,Northcross,711.0,1611.0,393.0,255.0,186.0,225.0,309.0,207.0,126.0,156.0,483.0,198.0,132.0,24.0,270.0,3276.0,0.0,144.0,54.0,249.0,36.0,12.0,33.0,42.0,66.0,138.0,0.0,57.0,33.0,12.0,9.0,9.0,3.0,21.0,18.0,1758.0,2277.0,171.0,51.0,897.0,60.0,48.0,216.0,516.0,1965.0,117.0,141.0,165.0,36.0,3.0,1326.0,1758.0,3291.0,2018
138,-36.9322969,174.5781611,Oteha West,477.0,942.0,144.0,108.0,45.0,63.0,138.0,63.0,72.0,81.0,363.0,105.0,114.0,18.0,258.0,1902.0,3.0,12.0,24.0,156.0,24.0,6.0,0.0,18.0,39.0,60.0,0.0,69.0,57.0,51.0,6.0,0.0,3.0,3.0,18.0,1050.0,390.0,18.0,24.0,1422.0,75.0,27.0,117.0,174.0,1230.0,45.0,96.0,93.0,18.0,3.0,774.0,1050.0,1938.0,2018
140,-36.81845265,174.73302755,Waiake,777.0,1848.0,579.0,300.0,273.0,240.0,333.0,246.0,129.0,186.0,582.0,225.0,141.0,33.0,333.0,3885.0,0.0,252.0,54.0,294.0,42.0,18.0,27.0,57.0,96.0,126.0,6.0,24.0,27.0,18.0,15.0,9.0,3.0,24.0,18.0,2097.0,3174.0,189.0,75.0,579.0,78.0,36.0,234.0,678.0,2247.0,129.0,162.0,204.0,54.0,6.0,1578.0,2097.0,3933.0,2018
142,-36.8010969,174.7452083,Waitakere,354.0,984.0,201.0,228.0,198.0,159.0,165.0,153.0,69.0,87.0,183.0,87.0,42.0,9.0,57.0,1935.0,0.0,78.0,15.0,204.0,18.0,3.0,6.0,9.0,33.0,36.0,9.0,6.0,18.0,12.0,0.0,12.0,0.0,18.0,21.0,1164.0,1770.0,282.0,120.0,78.0,15.0,27.0,198.0,399.0,951.0,63.0,69.0,96.0,30.0,3.0,624.0,1164.0,1926.0,2018
144,-36.79266515,174.750151970213,Albany South,768.0,1617.0,519.0,258.0,201.0,195.0,324.0,171.0,129.0,123.0,537.0,180.0,192.0,30.0,363.0,3405.0,6.0,159.0,33.0,354.0,27.0,3.0,6.0,36.0,60.0,162.0,6.0,84.0,81.0,57.0,3.0,9.0,9.0,6.0,18.0,1770.0,1749.0,117.0,54.0,1473.0,132.0,45.0,186.0,507.0,2160.0,114.0,135.0,150.0,30.0,3.0,1470.0,1770.0,3447.0,2018
146,-36.80966785,174.72599902269,Browns Bay South West,921.0,2064.0,441.0,288.0,237.0,276.0,396.0,204.0,159.0,153.0,630.0,252.0,183.0,33.0,396.0,4221.0,3.0,216.0,51.0,303.0,30.0,3.0,27.0,33.0,96.0,141.0,3.0,81.0,39.0,36.0,3.0,15.0,9.0,18.0,39.0,2385.0,2772.0,222.0,87.0,1305.0,123.0,54.0,279.0,630.0,2481.0,159.0,189.0,186.0,60.0,18.0,1596.0,2385.0,4254.0,2018
148,-36.85736,174.640293,Browns Bay Central,492.0,1329.0,636.0,276.0,207.0,177.0,228.0,177.0,99.0,135.0,390.0,150.0,126.0,24.0,285.0,2844.0,6.0,189.0,42.0,255.0,30.0,6.0,30.0,51.0,87.0,141.0,6.0,27.0,18.0,21.0,6.0,6.0,6.0,9.0,15.0,1383.0,2235.0,135.0,48.0,504.0,63.0,27.0,201.0,576.0,1644.0,84.0,111.0,78.0,27.0,9.0,1251.0,1383.0,2880.0,2018
150,-36.84644045,174.629248370753,Schnapper Rock,909.0,1965.0,234.0,231.0,204.0,207.0,345.0,141.0,120.0,123.0,744.0,204.0,189.0,24.0,381.0,3939.0,6.0,120.0,33.0,279.0,36.0,18.0,33.0,18.0,78.0,183.0,0.0,93.0,111.0,63.0,0.0,3.0,12.0,18.0,18.0,2262.0,1719.0,114.0,39.0,2076.0,132.0,42.0,216.0,456.0,2403.0,150.0,213.0,243.0,45.0,12.0,1518.0,2262.0,3960.0,2018
152,-36.8966991,174.6089238,Pinehill,1125.0,2097.0,354.0,321.0,165.0,174.0,387.0,120.0,144.0,138.0,795.0,222.0,195.0,18.0,612.0,4275.0,9.0,75.0,42.0,303.0,12.0,12.0,42.0,30.0,75.0,174.0,3.0,153.0,108.0,72.0,0.0,6.0,12.0,9.0,6.0,2448.0,1209.0,111.0,51.0,2925.0,96.0,60.0,282.0,435.0,2820.0,162.0,222.0,201.0,39.0,6.0,1641.0,2448.0,4323.0,2018
154,-36.8653637,174.599087426369,North Harbour,177.0,399.0,189.0,93.0,63.0,60.0,81.0,66.0,27.0,36.0,123.0,33.0,33.0,3.0,54.0,816.0,0.0,54.0,21.0,69.0,12.0,6.0,0.0,9.0,18.0,45.0,0.0,12.0,18.0,15.0,0.0,3.0,3.0,3.0,3.0,429.0,528.0,48.0,9.0,237.0,30.0,3.0,69.0,174.0,489.0,12.0,27.0,15.0,3.0,0.0,357.0,429.0,852.0,2018
156,-36.7573257,174.750889,Browns Bay South East,612.0,1437.0,333.0,180.0,186.0,180.0,255.0,138.0,123.0,135.0,405.0,195.0,144.0,24.0,288.0,2931.0,3.0,126.0,24.0,261.0,18.0,3.0,21.0,57.0,36.0,105.0,3.0,51.0,24.0,27.0,3.0,9.0,0.0,9.0,18.0,1617.0,1851.0,135.0,45.0,951.0,93.0,24.0,174.0,402.0,1791.0,108.0,144.0,138.0,45.0,3.0,1128.0,1617.0,2946.0,2018
158,-36.7347999,174.6935115,Greenhithe West,714.0,1731.0,387.0,252.0,282.0,300.0,303.0,195.0,126.0,153.0,486.0,228.0,159.0,27.0,201.0,3501.0,3.0,237.0,39.0,267.0,6.0,6.0,27.0,51.0,39.0,93.0,3.0,9.0,42.0,15.0,9.0,3.0,9.0,21.0,18.0,2106.0,2955.0,174.0,60.0,468.0,54.0,39.0,162.0,522.0,2127.0,165.0,141.0,210.0,63.0,9.0,1179.0,2106.0,3510.0,2018
160,-36.7810406,174.713749397848,Rothesay Bay,564.0,1392.0,405.0,165.0,204.0,213.0,240.0,135.0,84.0,150.0,480.0,201.0,153.0,42.0,177.0,2886.0,0.0,165.0,51.0,234.0,39.0,3.0,12.0,18.0,39.0,129.0,0.0,12.0,18.0,15.0,6.0,0.0,12.0,3.0,9.0,1665.0,2292.0,135.0,51.0,516.0,48.0,36.0,120.0,456.0,1752.0,108.0,129.0,150.0,42.0,6.0,1053.0,1665.0,2925.0,2018
162,-36.8332465,174.6293807,Greenhithe East,636.0,1548.0,237.0,162.0,180.0,204.0,252.0,135.0,87.0,108.0,498.0,177.0,153.0,27.0,267.0,3093.0,3.0,99.0,36.0,291.0,30.0,0.0,9.0,39.0,48.0,96.0,0.0,39.0,78.0,45.0,6.0,6.0,0.0,18.0,9.0,1752.0,1833.0,117.0,66.0,1128.0,102.0,36.0,144.0,387.0,1827.0,96.0,162.0,195.0,57.0,9.0,1170.0,1752.0,3165.0,2018
164,-36.8662943,174.576838317382,Hobsonville,231.0,576.0,171.0,129.0,105.0,78.0,96.0,78.0,36.0,51.0,159.0,69.0,36.0,6.0,78.0,1173.0,0.0,72.0,18.0,120.0,9.0,3.0,18.0,6.0,27.0,57.0,3.0,9.0,27.0,6.0,3.0,6.0,3.0,3.0,9.0,621.0,801.0,69.0,54.0,330.0,15.0,18.0,84.0,204.0,678.0,39.0,42.0,48.0,15.0,0.0,495.0,621.0,1179.0,2018
166,-36.5875628,174.6757262,Greenhithe South,402.0,1020.0,186.0,129.0,132.0,108.0,177.0,108.0,84.0,87.0,351.0,126.0,90.0,12.0,141.0,1998.0,0.0,84.0,27.0,216.0,21.0,6.0,6.0,24.0,39.0,69.0,3.0,33.0,33.0,15.0,6.0,6.0,3.0,6.0,9.0,1155.0,1317.0,105.0,48.0,645.0,15.0,21.0,129.0,279.0,1194.0,60.0,69.0,117.0,30.0,3.0,762.0,1155.0,2007.0,2018
168,-36.84634185,174.615427345025,Murrays Bay West,570.0,1281.0,306.0,144.0,153.0,141.0,252.0,117.0,105.0,99.0,462.0,177.0,153.0,30.0,219.0,2628.0,3.0,144.0,63.0,249.0,12.0,6.0,15.0,27.0,27.0,87.0,3.0,42.0,39.0,27.0,0.0,15.0,3.0,9.0,18.0,1404.0,1695.0,126.0,30.0,867.0,57.0,30.0,138.0,366.0,1626.0,120.0,114.0,126.0,42.0,6.0,1080.0,1404.0,2649.0,2018
170,-36.7435039,174.7295583,Westgate South,384.0,768.0,303.0,246.0,111.0,135.0,168.0,105.0,51.0,54.0,213.0,57.0,39.0,9.0,129.0,1770.0,33.0,111.0,15.0,231.0,18.0,12.0,33.0,27.0,18.0,87.0,21.0,21.0,114.0,45.0,0.0,3.0,6.0,9.0,6.0,666.0,924.0,294.0,237.0,543.0,36.0,24.0,189.0,267.0,1002.0,54.0,63.0,48.0,18.0,9.0,996.0,666.0,1767.0,2018
172,-36.7911922,174.6649677,Windsor Park,318.0,690.0,441.0,168.0,105.0,90.0,117.0,54.0,54.0,84.0,276.0,93.0,93.0,9.0,216.0,1683.0,0.0,126.0,30.0,138.0,18.0,3.0,15.0,27.0,18.0,93.0,3.0,42.0,24.0,12.0,6.0,6.0,0.0,6.0,9.0,831.0,837.0,54.0,27.0,795.0,30.0,21.0,87.0,255.0,1086.0,57.0,69.0,60.0,15.0,3.0,765.0,831.0,1707.0,2018
174,-36.81729005,174.635759370205,West Harbour West,981.0,1953.0,246.0,522.0,303.0,306.0,384.0,279.0,165.0,114.0,411.0,138.0,96.0,12.0,219.0,4332.0,30.0,105.0,36.0,393.0,63.0,12.0,81.0,78.0,90.0,219.0,87.0,84.0,99.0,84.0,3.0,30.0,6.0,30.0,30.0,1989.0,2385.0,873.0,930.0,864.0,111.0,63.0,537.0,612.0,2043.0,96.0,162.0,156.0,54.0,33.0,2028.0,1989.0,4299.0,2018
176,-36.799239,174.6473532,Unsworth Heights West,483.0,1155.0,378.0,180.0,141.0,129.0,183.0,96.0,90.0,90.0,453.0,147.0,111.0,21.0,240.0,2322.0,6.0,81.0,30.0,357.0,51.0,6.0,30.0,36.0,42.0,114.0,3.0,60.0,135.0,66.0,3.0,3.0,15.0,9.0,6.0,879.0,1023.0,75.0,54.0,1020.0,234.0,39.0,150.0,324.0,1494.0,111.0,111.0,99.0,15.0,3.0,1353.0,879.0,2370.0,2018
178,-36.778,174.681,Murrays Bay East,393.0,1038.0,345.0,120.0,168.0,144.0,192.0,132.0,78.0,129.0,354.0,159.0,99.0,24.0,108.0,2136.0,0.0,114.0,42.0,234.0,21.0,0.0,0.0,24.0,18.0,108.0,0.0,24.0,9.0,9.0,6.0,6.0,0.0,15.0,6.0,1212.0,1698.0,81.0,18.0,363.0,51.0,27.0,84.0,324.0,1359.0,99.0,90.0,96.0,36.0,3.0,825.0,1212.0,2148.0,2018
180,-36.7253311,174.7279214,Birdwood West,120.0,291.0,87.0,84.0,51.0,48.0,57.0,45.0,30.0,24.0,63.0,27.0,15.0,6.0,24.0,606.0,0.0,30.0,3.0,33.0,9.0,3.0,0.0,3.0,12.0,18.0,3.0,0.0,6.0,6.0,0.0,3.0,0.0,3.0,6.0,375.0,501.0,114.0,36.0,60.0,12.0,12.0,51.0,117.0,339.0,24.0,24.0,18.0,3.0,3.0,198.0,375.0,600.0,2018
182,-36.8487765,174.755559722854,Hobsonville Point,660.0,1800.0,510.0,210.0,198.0,195.0,249.0,159.0,117.0,162.0,768.0,318.0,207.0,30.0,234.0,3765.0,3.0,210.0,33.0,378.0,33.0,6.0,18.0,45.0,63.0,135.0,0.0,51.0,48.0,33.0,6.0,6.0,3.0,27.0,21.0,2115.0,2619.0,198.0,90.0,1062.0,81.0,60.0,123.0,522.0,2298.0,54.0,222.0,210.0,33.0,6.0,1464.0,2115.0,3792.0,2018
184,-36.8911394,174.4381957,West Harbour Clearwater Cove,783.0,2049.0,681.0,456.0,303.0,330.0,369.0,243.0,159.0,198.0,567.0,210.0,147.0,24.0,345.0,4344.0,0.0,234.0,84.0,384.0,36.0,21.0,21.0,45.0,72.0,183.0,15.0,111.0,177.0,48.0,6.0,6.0,3.0,9.0,12.0,2223.0,2697.0,282.0,180.0,1440.0,81.0,66.0,282.0,642.0,2610.0,162.0,177.0,192.0,57.0,15.0,1824.0,2223.0,4314.0,2018
186,-36.7092645,174.7277975,Unsworth Heights East,864.0,1659.0,498.0,345.0,225.0,216.0,342.0,168.0,150.0,108.0,567.0,195.0,147.0,15.0,327.0,3567.0,6.0,162.0,45.0,495.0,42.0,9.0,33.0,42.0,69.0,162.0,6.0,60.0,126.0,141.0,6.0,15.0,48.0,12.0,33.0,1491.0,1674.0,222.0,168.0,1473.0,252.0,69.0,240.0,513.0,2229.0,129.0,174.0,147.0,36.0,6.0,1920.0,1491.0,3603.0,2018
188,-36.7257848,174.6970139,Mairangi Bay North,549.0,1377.0,444.0,177.0,177.0,186.0,261.0,126.0,105.0,144.0,468.0,210.0,141.0,24.0,231.0,2901.0,0.0,159.0,72.0,270.0,36.0,3.0,12.0,33.0,48.0,150.0,3.0,18.0,21.0,27.0,6.0,3.0,9.0,9.0,18.0,1524.0,1968.0,141.0,51.0,846.0,57.0,21.0,132.0,408.0,1815.0,117.0,123.0,138.0,36.0,9.0,1209.0,1524.0,2910.0,2018
190,-36.794101,174.6153747,Massey Central,804.0,1437.0,225.0,423.0,285.0,213.0,309.0,195.0,111.0,75.0,282.0,78.0,48.0,3.0,177.0,3363.0,42.0,87.0,18.0,372.0,60.0,12.0,111.0,87.0,78.0,201.0,42.0,33.0,135.0,99.0,3.0,18.0,39.0,15.0,9.0,1317.0,1575.0,669.0,948.0,714.0,96.0,45.0,462.0,462.0,1572.0,69.0,153.0,102.0,39.0,24.0,1854.0,1317.0,3327.0,2018
192,-36.7168189,174.6927881,West Harbour Luckens Point,570.0,1314.0,309.0,240.0,168.0,198.0,261.0,159.0,108.0,102.0,423.0,144.0,96.0,24.0,198.0,2697.0,9.0,126.0,42.0,264.0,6.0,6.0,12.0,27.0,45.0,138.0,0.0,72.0,75.0,51.0,0.0,6.0,0.0,12.0,12.0,1401.0,1605.0,180.0,87.0,984.0,36.0,54.0,168.0,354.0,1680.0,120.0,108.0,138.0,33.0,6.0,1146.0,1401.0,2682.0,2018
194,-36.6022507,174.8034415,Mairangi Bay South,522.0,1284.0,462.0,165.0,192.0,189.0,237.0,117.0,78.0,150.0,489.0,174.0,135.0,30.0,186.0,2745.0,3.0,231.0,39.0,240.0,12.0,3.0,24.0,30.0,36.0,132.0,0.0,36.0,18.0,3.0,6.0,9.0,0.0,12.0,15.0,1503.0,2004.0,141.0,51.0,696.0,30.0,21.0,105.0,381.0,1758.0,102.0,120.0,159.0,33.0,3.0,1101.0,1503.0,2775.0,2018
196,-36.7170336,174.6393415,Massey Royal Road West,705.0,1365.0,240.0,366.0,219.0,180.0,246.0,207.0,111.0,87.0,315.0,105.0,69.0,3.0,189.0,3021.0,12.0,117.0,42.0,372.0,27.0,6.0,42.0,45.0,72.0,135.0,42.0,63.0,168.0,99.0,0.0,9.0,21.0,15.0,6.0,1239.0,1539.0,609.0,618.0,753.0,93.0,33.0,408.0,417.0,1497.0,72.0,123.0,99.0,36.0,12.0,1632.0,1239.0,2997.0,2018
198,-36.62804245,174.754958597016,Bayview East,858.0,1758.0,261.0,300.0,219.0,186.0,300.0,198.0,138.0,132.0,579.0,183.0,153.0,21.0,288.0,3618.0,12.0,114.0,45.0,492.0,45.0,9.0,18.0,39.0,51.0,132.0,21.0,81.0,123.0,99.0,15.0,12.0,42.0,15.0,33.0,1644.0,1839.0,327.0,267.0,1401.0,147.0,51.0,300.0,504.0,2067.0,96.0,162.0,174.0,39.0,12.0,1761.0,1644.0,3615.0,2018
200,-36.6733645,174.7068378,Swanson Rural,498.0,1182.0,285.0,261.0,231.0,201.0,216.0,213.0,105.0,99.0,234.0,111.0,69.0,24.0,81.0,2355.0,0.0,111.0,27.0,183.0,18.0,33.0,15.0,12.0,24.0,57.0,12.0,12.0,30.0,6.0,3.0,15.0,0.0,18.0,24.0,1401.0,2046.0,336.0,117.0,168.0,33.0,27.0,195.0,498.0,1260.0,105.0,84.0,84.0,39.0,9.0,777.0,1401.0,2376.0,2018
202,-36.614433,174.716958,Sunnynook South,684.0,1242.0,240.0,213.0,120.0,135.0,267.0,114.0,87.0,93.0,471.0,159.0,114.0,12.0,258.0,2673.0,21.0,60.0,39.0,309.0,39.0,6.0,24.0,33.0,45.0,126.0,3.0,66.0,120.0,84.0,3.0,15.0,24.0,6.0,15.0,1179.0,1119.0,153.0,120.0,1371.0,75.0,60.0,201.0,357.0,1605.0,69.0,120.0,135.0,30.0,6.0,1341.0,1179.0,2670.0,2018
204,-36.7734278,174.4499967,Sunnynook North,663.0,1383.0,222.0,177.0,150.0,159.0,228.0,123.0,96.0,105.0,483.0,168.0,147.0,15.0,300.0,2865.0,9.0,81.0,51.0,294.0,45.0,6.0,18.0,21.0,33.0,171.0,9.0,51.0,75.0,51.0,3.0,6.0,18.0,6.0,24.0,1377.0,1383.0,180.0,90.0,1353.0,90.0,39.0,177.0,384.0,1698.0,75.0,144.0,171.0,27.0,9.0,1350.0,1377.0,2874.0,2018
206,-36.9436604,174.9173892,Bayview West,519.0,1155.0,207.0,219.0,147.0,141.0,204.0,159.0,84.0,102.0,345.0,102.0,75.0,9.0,153.0,2376.0,6.0,99.0,24.0,291.0,24.0,6.0,18.0,33.0,60.0,87.0,9.0,36.0,63.0,60.0,0.0,15.0,6.0,12.0,15.0,1185.0,1473.0,201.0,141.0,708.0,87.0,42.0,198.0,372.0,1293.0,81.0,99.0,102.0,27.0,9.0,1080.0,1185.0,2391.0,2018
