,Latitude,Longitude,Area,15-29 years,30-64 years,65 years and over,No qualification,Level 1 certificate,Level 2 certificate,Level 3 certificate,Level 4 certificate,Level 5 diploma,Level 6 diploma,Bachelor degree and level 7 qualification,Post-graduate and honours degrees,Masters degree,Doctorate degree,Overseas secondary school qualification,Total people - religious affiliation,  Adventist,  Anglican,  Baptist,  Catholicism,"  Evangelical, Born Again and Fundamentalist",  Jehovah's Witnesses,  Latter-day Saints,  Methodist,  Pentecostal,"  Presbyterian, Congregational and Reformed","  Maori Religions, Beliefs and Philosophies",  Buddhism,  Hinduism,  Islam,  Judaism,  Spiritualism and New Age religions,  Sikhism,  Jedi,  Other religions,  No religion,European,Maori,Pacific Peoples,Asian,Middle Eastern/Latin American/African,Other ethnicity,Regular smoker,Ex-smoker,Never smoked regularly,No dependent children,One dependent child,Two dependent children,Three dependent children,Four or more dependent children,Total people - with at least one religious affiliation,No religion,Respondents,Year
22,-37.0556948,174.943844623099,Te Kuru,408.0,1233.0,261.0,255.0,267.0,222.0,204.0,210.0,114.0,99.0,222.0,90.0,27.0,9.0,90.0,2484.0,0.0,129.0,27.0,141.0,9.0,21.0,33.0,33.0,39.0,63.0,12.0,18.0,6.0,0.0,0.0,9.0,3.0,24.0,12.0,1521.0,2319.0,279.0,60.0,66.0,18.0,39.0,189.0,477.0,1254.0,72.0,81.0,120.0,54.0,18.0,768.0,1521.0,2457.0,2018
24,-37.0657044,174.9470063,Snells Beach,438.0,1404.0,984.0,537.0,381.0,255.0,219.0,276.0,138.0,150.0,297.0,111.0,72.0,9.0,171.0,3405.0,3.0,297.0,42.0,183.0,42.0,15.0,12.0,69.0,120.0,213.0,15.0,24.0,15.0,6.0,3.0,15.0,0.0,15.0,15.0,1752.0,3090.0,366.0,171.0,111.0,30.0,36.0,345.0,810.0,1638.0,54.0,84.0,102.0,48.0,18.0,1401.0,1752.0,3429.0,2018
26,-36.1820078,175.114164,Barrier Islands,108.0,474.0,234.0,144.0,111.0,69.0,51.0,81.0,36.0,45.0,66.0,42.0,30.0,6.0,24.0,930.0,0.0,54.0,3.0,39.0,0.0,0.0,15.0,12.0,3.0,24.0,12.0,9.0,0.0,0.0,3.0,6.0,0.0,3.0,3.0,582.0,849.0,192.0,24.0,12.0,0.0,18.0,153.0,276.0,363.0,6.0,18.0,21.0,3.0,6.0,258.0,582.0,975.0,2018
28,-37.0333574,174.9831104,Algies Bay-Scotts Landing,102.0,495.0,480.0,189.0,150.0,102.0,60.0,99.0,42.0,72.0,138.0,51.0,39.0,12.0,51.0,1185.0,0.0,147.0,27.0,66.0,15.0,12.0,3.0,12.0,45.0,84.0,0.0,9.0,9.0,0.0,0.0,6.0,0.0,3.0,0.0,540.0,1107.0,75.0,24.0,51.0,3.0,15.0,69.0,312.0,663.0,27.0,18.0,33.0,6.0,3.0,540.0,540.0,1215.0,2018
30,-37.0372791,174.9117233,Wainui-Waiwera,270.0,816.0,291.0,162.0,171.0,153.0,150.0,126.0,69.0,78.0,186.0,57.0,39.0,12.0,90.0,1674.0,0.0,141.0,39.0,99.0,36.0,12.0,27.0,18.0,27.0,33.0,6.0,3.0,12.0,12.0,3.0,12.0,0.0,12.0,6.0,891.0,1557.0,150.0,33.0,63.0,15.0,9.0,135.0,348.0,900.0,60.0,54.0,66.0,21.0,9.0,654.0,891.0,1665.0,2018
32,-37.0228343,174.913823924118,Parakai,177.0,501.0,186.0,234.0,90.0,84.0,84.0,84.0,45.0,27.0,63.0,15.0,9.0,0.0,39.0,1098.0,0.0,57.0,9.0,78.0,3.0,9.0,6.0,6.0,18.0,24.0,30.0,6.0,15.0,6.0,0.0,9.0,3.0,3.0,0.0,648.0,870.0,264.0,72.0,72.0,6.0,21.0,183.0,213.0,441.0,12.0,33.0,36.0,15.0,9.0,348.0,648.0,1128.0,2018
34,-37.0149279,174.9102643,Helensville Rural,270.0,759.0,183.0,195.0,162.0,135.0,117.0,126.0,66.0,66.0,123.0,63.0,30.0,9.0,54.0,1524.0,3.0,99.0,30.0,117.0,18.0,12.0,3.0,12.0,9.0,36.0,12.0,6.0,0.0,3.0,0.0,18.0,0.0,6.0,9.0,939.0,1428.0,177.0,45.0,42.0,9.0,12.0,138.0,327.0,750.0,45.0,54.0,63.0,30.0,6.0,486.0,939.0,1512.0,2018
36,-37.0311947,174.8886311,Helensville,507.0,1206.0,414.0,435.0,273.0,228.0,237.0,222.0,111.0,105.0,192.0,78.0,48.0,12.0,81.0,2787.0,3.0,177.0,24.0,177.0,12.0,6.0,6.0,30.0,54.0,102.0,57.0,18.0,24.0,3.0,3.0,21.0,3.0,21.0,12.0,1569.0,2358.0,567.0,213.0,117.0,9.0,27.0,354.0,591.0,1203.0,42.0,96.0,105.0,54.0,15.0,999.0,1569.0,2769.0,2018
38,-37.0191623,174.9420664,Waitoki,297.0,735.0,183.0,153.0,141.0,135.0,150.0,123.0,66.0,66.0,159.0,60.0,45.0,9.0,60.0,1530.0,3.0,87.0,30.0,114.0,12.0,6.0,3.0,9.0,21.0,51.0,0.0,6.0,3.0,0.0,0.0,9.0,3.0,12.0,12.0,906.0,1440.0,114.0,18.0,48.0,9.0,15.0,114.0,267.0,849.0,72.0,45.0,66.0,30.0,9.0,513.0,906.0,1509.0,2018
40,-37.0197115,174.896524362044,Waikoukou Valley,270.0,867.0,207.0,171.0,183.0,156.0,147.0,138.0,66.0,78.0,159.0,90.0,48.0,6.0,57.0,1728.0,0.0,87.0,9.0,120.0,27.0,12.0,0.0,12.0,18.0,48.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,9.0,9.0,1137.0,1626.0,150.0,39.0,51.0,12.0,21.0,102.0,354.0,891.0,51.0,69.0,90.0,33.0,6.0,477.0,1137.0,1692.0,2018
